2018rank,City,State[c],2018estimate
210,New Haven,Connecticut,130418
211,Stamford,Connecticut,129775
212,Concord,California,129688
213,Kent,Washington,129618
214,Santa Clara,California,129488
215,Elizabeth,New Jersey,128885
216,Round Rock,Texas,128739
217,Thousand Oaks,California,127690
218,Lafayette,Louisiana,126143
219,Athens,Georgia,125964
220,Topeka,Kansas,125904
221,Simi Valley,California,125851
222,Fargo,North Dakota,124844
223,Norman,Oklahoma,123471
224,Columbia,Missouri,123180
225,Abilene,Texas,122999
226,Wilmington,North Carolina,122607
227,Hartford,Connecticut,122587
228,Victorville,California,122312
229,Pearland,Texas,122149
230,Vallejo,California,121913
231,Ann Arbor,Michigan,121890
232,Berkeley,California,121643
233,Allentown,Pennsylvania,121433
234,Richardson,Texas,120981
235,Odessa,Texas,120568
236,Arvada,Colorado,120492
237,Cambridge,Massachusetts,118977
238,Sugar Land,Texas,118600
239,Beaumont,Texas,118428
240,Lansing,Michigan,118427
241,Evansville,Indiana,117963
242,Rochester,Minnesota,116961
243,Independence,Missouri,116925
244,Fairfield,California,116884
245,Provo,Utah,116702
246,Clearwater,Florida,116478
247,College Station,Texas,116218
248,West Jordan,Utah,116046
249,Carlsbad,California,115877
250,El Monte,California,115586
251,Murrieta,California,114985
252,Temecula,California,114742
253,Springfield,Illinois,114694
254,Palm Bay,Florida,114194
255,Costa Mesa,California,113615
256,Westminster,Colorado,113479
257,North Charleston,South Carolina,113237
258,Miami Gardens,Florida,113069
259,Manchester,New Hampshire,112525
260,High Point,North Carolina,112316
261,Downey,California,112269
262,Clovis,California,112022
263,Pompano Beach,Florida,111954
264,Pueblo,Colorado,111750
265,Elgin,Illinois,111683
266,Lowell,Massachusetts,111670
267,Antioch,California,111535
268,West Palm Beach,Florida,111398
269,Peoria,Illinois,111388
270,Everett,Washington,111262
271,Ventura,California,111128
272,Centennial,Colorado,110831
273,Lakeland,Florida,110516
274,Gresham,Oregon,110158
275,Richmond,California,110146
276,Billings,Montana,109550
277,Inglewood,California,109419
278,Broken Arrow,Oklahoma,109171
279,Sandy Springs,Georgia,108797
280,Jurupa Valley,California,108393
281,Hillsboro,Oregon,108389
282,Waterbury,Connecticut,108093
283,Santa Maria,California,107408
284,Boulder,Colorado,107353
285,Greeley,Colorado,107348
286,Daly City,California,107008
287,Meridian,Idaho,106804
288,Lewisville,Texas,106586
289,Davie,Florida,106558
290,West Covina,California,106311
291,League City,Texas,106244
292,Tyler,Texas,105729
293,Norwalk,California,105120
294,San Mateo,California,105025
295,Green Bay,Wisconsin,104879
296,Wichita Falls,Texas,104576
297,Sparks,Nevada,104246
298,Lakewood,New Jersey,104157
299,Burbank,California,103695
300,Rialto,California,103440
301,Allen,Texas,103383
302,El Cajon,California,103241
303,Las Cruces,New Mexico,102926
304,Renton,Washington,102153
305,Davenport,Iowa,102085
306,South Bend,Indiana,101860
307,Vista,California,101224
308,Tuscaloosa,Alabama,101113
309,Clinton,Michigan,100800
310,Edison,New Jersey,100693
311,Woodbridge,New Jersey,100450
312,San Angelo,Texas,100215
313,Kenosha,Wisconsin,100164
314,Vacaville,California,100154
